scale,mean,var
7627.30391495,20714.09203132,58175765.01095660
6726.11324758,13215.46480200,45240599.41927772
4572.05192244,10436.44547315,20903658.78147771
9133.39332809,20389.57772147,83418873.68553424
15670.31560057,20117.13907027,245558791.02133149
7052.52618720,14671.37475230,49738125.62118194
6588.60216017,11102.86015008,43409678.42500577
14097.83318876,12503.13481467,198748900.61815062
6195.08496839,9986.65831790,38379077.76552588
5167.03546355,11229.33144918,26698255.48157177
5351.88511414,9482.22090115,28642674.27495306
7151.81090656,10670.39352890,51148399.24317952
4732.47060754,7586.24445311,22396278.05124539
3566.62257017,9075.60435955,12720796.55805136
2385.84508516,5679.90881331,5692256.77039401
6092.81430445,8797.63057532,37122386.14848816
14087.73473151,16926.54572329,198464269.86549157
6807.29332944,10475.33827112,46339242.47307214
5605.55185400,8852.02813241,31422211.58787749
18225.16240876,22547.52119676,332156544.82571447
10814.54652173,19836.75385765,116954416.47058424
9189.26998999,18605.47968034,84442682.94886899
5934.79430277,13854.12776533,35221783.41618761
5606.33099397,8842.74060358,31430947.21390766
4180.21505533,8945.35945165,17474197.90877000
7770.51532133,10136.42006952,60380908.35906409
17673.26299881,14462.25445863,312344225.02497584
4553.38904293,10401.76681935,20733351.77631258
5588.30247225,12170.51323783,31229124.52140325
17005.51248923,21799.14940064,289187455.02147067
18532.41127418,20999.17347237,343450267.63530904
8463.52089051,15334.67927103,71631185.86409484
5606.65148656,9875.76720917,31434540.89172009
4055.91915790,8675.52252867,16450480.21538272
2735.14418556,3705.52824611,7481013.71579084
6696.74257170,8872.12714810,44846361.07157619
5333.21118730,13278.08475457,28443141.56832916
9535.23673831,10561.57447292,90920739.65555707
16006.96582366,18151.44547315,256222954.87990883
2382.64235876,5672.92073547,5676984.60977141
6468.50447934,8807.30403145,41841550.19918668
8179.48614553,8527.43036741,66903993.60492798
18323.33297986,15449.30360913,335744531.49096632
6840.13773547,11223.32709612,46787484.24018066
11595.84479499,13921.69833999,134463616.50952873
30002.70036840,26484.83965176,900162029.39572012
27185.40351308,22623.02822987,739046164.16881096
17168.23362391,17127.87626287,294748245.76518583
6327.13100831,15422.16122535,40032586.79631066
10499.62797726,14419.22717084,110242187.66086420
18449.76540274,20936.22148589,340393843.41603786
5504.68398956,14212.13026671,30301545.82489137
8397.13100737,14929.08056395,70511809.15499458
18372.91020720,17116.27365754,337563829.48168570
12686.63794239,13587.37400513,160950782.28129387
5347.96185266,9480.88782770,28600695.97750948
16279.56755119,19353.02530618,265024319.65368104
36225.49641964,31680.74112335,1312286590.84910941
43319.07773791,28765.43329110,1876542496.06298780
14855.96691470,17693.05015755,220699752.97061911
15668.35020540,18052.53331384,245497198.15909982
41591.17193583,33280.95679433,1729825582.99568176
18365.26477541,15489.50063347,337282950.27105218
11231.98109775,13411.15011532,126157399.38015585
14219.40553244,19552.76178410,202191493.69606897
21638.95921319,18789.81428061,468244555.83020514
17694.30728695,14487.76896339,313088510.36496776
11348.51221057,16195.64457655,128788729.39344195
8644.63528936,16532.87899165,74729719.28604338
10179.69677173,20196.34346880,103626226.36447018
7206.86359251,13467.36747555,51938882.84108455
6577.81358275,11052.11210733,43267631.52935442
4190.26057045,9414.89364259,17558283.64830545
15739.38701639,19264.47019459,247728303.65163991
12664.72456549,13548.41337751,160395248.31981310
4049.95302423,9498.83052334,16402119.49845170
6057.26893232,12066.07900465,36690506.91842446
21660.47410624,26506.01426112,469176138.50724983
16000.50910158,18184.22837280,256016291.50968194
6569.22411068,13513.26020856,43154705.41635735
8349.79649507,16730.45158042,69719101.50900133
7322.11939417,16045.93054608,53613432.42248964
5914.23883316,13865.33615957,34978220.97564966
9843.99273240,19581.29051749,96904192.91553465
8774.53363479,17814.82152487,76992440.50799027
8573.15733596,14867.21544359,73499026.70705116
7365.09842191,16089.67173440,54244674.76437900
6803.89077649,10489.86765422,46292929.69836672
3744.46901589,8909.44280934,14021048.21099520
9075.87994605,9793.54809473,82371596.79513173
21671.78226875,18816.40184517,469666146.70393741
6714.41258687,13211.43052984,45083336.38674570
4376.36701257,9203.99792093,19152588.22869340
12174.14939900,14897.04928045,148209913.58906642
10554.25077130,14509.18831823,111392209.34351137
6986.13000018,13336.03102362,48806012.37947530
6364.16045547,11308.22821038,40502538.30295394
5495.30422411,9213.73452880,30198368.51556265
4048.71019460,8689.26920703,16392054.23987540
7805.81309873,12196.97306955,60930718.13236839
6799.97241695,16942.77240685,46239624.87124321
12962.66899342,14816.10931358,168030787.43303740
21759.71389168,26584.95770393,473485148.64791930
3577.20853955,9085.30685768,12796420.93543268
11989.27207249,14698.82107007,143742644.82819879
17436.68268230,15898.28639184,304037902.96310091
41603.46585551,33297.59272975,1730848371.19087839
16048.33177674,21420.08017412,257548952.81616834
14958.43141873,16822.20530812,223754670.50880286
43106.29892875,33523.96550044,1858153007.33474731
30071.07244438,26559.76912582,904269397.95510972
20477.89290461,20744.35961407,419344097.81252748
7853.75967602,15976.64214014,61681541.04875491
12136.25780064,14852.85173635,147288753.40354466
16991.36400820,21825.14329338,288706450.85920727
7710.26913179,18413.99691388,59448250.08468017
5861.06743420,13643.83367443,34352111.46829148
13156.15916621,13851.85673911,173084524.00669944
15818.90771770,19371.55397460,250237841.38115454
5165.71902995,11249.85232109,26684653.09640548
10193.81993237,14918.70464217,103913964.81352088
26035.07939356,19902.95731410,677825359.02900743
36351.30506436,31805.68089530,1321417379.88222456
13232.84818206,18835.28603450,175108271.00933841
7993.33119993,10302.66591950,63893343.67171220
17487.96814551,15966.83172530,305829029.85843873
8220.14504444,8592.95370822,67570784.55163644
5912.19908908,9346.60348244,34954098.06893771
6741.75908447,14195.44693500,45451315.55296976
9075.47434479,9803.55797031,82364234.58286485
7791.06007406,10187.16983400,60700617.07754662
7226.01124986,15501.03501933,52215238.58305723
6946.15683372,16506.94945262,48249094.75857925
15657.69395534,17578.73910925,245163379.99901789
10203.80083809,20286.12367216,104117551.54332487
7057.58190356,14680.62268135,49809462.32551878
3317.14123765,8243.21986161,11003425.99051356
13141.14336296,13830.28596953,172689648.88580072
18376.78388563,17126.00451548,337706185.97902602
5443.77230147,11508.22752818,29634656.87029807
3695.48715457,8244.91069746,13656625.30960295
12975.81268986,14848.68826950,168371714.96237141
9570.31351469,10610.29168697,91590900.76951309
5040.82978331,10378.52662184,25409964.90432814
6855.81618634,14702.99525712,47002215.58091519
8556.91930366,14861.07062340,73220867.96934895
9171.02567935,18670.99337297,84107712.01126155
10630.55462014,21710.92443881,113008691.53182735
18190.03565661,26155.71260111,330877397.18878657
6863.51297997,14686.48962089,47107810.42622333
8345.64031269,16759.82811942,69649712.22881429
